Hospitalized ,freq,Symtom,freq,Symtomp Ex,freq,disease,freq,drug,freq,organ,freq,intensity,freq,time,freq,other,freq
doctor,1784,pain,1068,symtoms,674,cancer,366,aspergers,331,heart,427,hard,717,ago,996,sex,823
diagnosis,853,blood,785,issues,510,acne,245,tinnitus,148,body,385,better,716,week,1638,old,854
hospital,483,anxiety,482,problems,1020,asthma,202,xarelto,122,eyes,651,normal,714,times,644,support,549
treatment,337,sleeping,555,scared,336,lyme,177,warfarin,97,skin,325,worse,460,past,519,care,431
treat,215,ill,388,disease,318,hpv,144,accutane,95,lung,347,high,453,night,516,mom,415
meds,317,sick,316,mind,300,vertigo,124,,,brain,279,wrong,377,sometimes,513,daughter,406
test,629,hurt,253,tired,285,diabetes,121,,,chest,264,severe,261,recently,408,friend,383
health,299,infection,223,pragnent,399,narcolapsy,114,,,hand,167,positive,213,hours,561,happy,354
surgery,293,allegies,509,situation,262,dyslexia,107,,,stomach,166,red,101,later,356,children,664
diet,229,syndrome,191,worried,226,cirrhosis,97,,,ear,145,,,morning,318,baby,339
medical,222,breathing problem,175,depression,232,pancreatitis,90,,,gluten,133,,,often,293,parents,338
medication,290,disorder,167,condition,188,,,,,pulmonary,124,,,yesterday,258,food,527
scan,173,chronic,151,effects,183,,,,,throat,123,,,quite,245,relationship,328
therapy,164,pressure,148,sad,165,,,,,thyroaid,120,,,usual,245,mother,284
CT,148,painful,121,upset,146,,,,,leg,208,,,period,220,age,273
dose,145,fatigue,117,angry,146,,,,,neck,97,,,minute,164,dad,242
drug,121,fatty,113,attack,137,,,,,muscle,95,,,,,weight,217
pills,211,dizziness,104,panic,136,,,,,,,,,,,sexual,213
therapist,108,anxious,102,risk,136,,,,,,,,,,,boyfriend,207
vitamin,106,orgasm,96,nervous,127,,,,,,,,,,,wife,203
,,bleeding,94,frustration,126,,,,,,,,,,,eat,405
,,,,suger,114,,,,,,,,,,,mg,178
,,,,suffering,109,,,,,,,,,,,father,177
